Year,Player,Age,AV,School,Height,Wt,40YD,Vertical,BenchReps,Broad_Jump,3Cone,Shuttle,School,Conf,Class,G_season,Rec_Season,Rec_Yds_Season,Rec_Avg_Season,Rec_TD_Season,Career_Rec,Career_Rec_Yds,Career_Rec_Avg,Career_Rec_TD,NFL_Years,Average_AV,AAV2
2000,Travis Taylor,21,36,Florida,73,199,4.43,37,,118,7.15,,Florida,SEC,,9,34,463,13.6,6,72,1150,16,15,8,4.5,20.25
2000,R. Jay Soward,22,2,USC,69,177,4.34,35,,124,,,USC,Pac-10,,11,51,655,12.8,4,161,2672,16.6,23,1,2,4
2000,Dennis Northcutt,22,49,Arizona,70,175,4.43,37.5,,123,6.96,4.04,Arizona,Pac-10,,12,88,1422,16.2,8,217,3186,14.7,24,10,4.9,24.01
2000,Todd Pinkston,22,29,Southern Miss,74,169,4.45,,,,,,Southern Mississippi,CUSA,,11,48,977,20.4,11,149,2366,15.9,22,5,5.8,33.64
2000,Jerry Porter,21,38,West Virginia,74,221,4.48,,,,,,West Virginia,Big East,,11,15,311,20.7,4,28,591,21.1,7,9,4.222222222,17.82716049
2000,Ron Dugans,22,6,Florida State,73,206,4.58,,,117,,,Florida State,ACC,,10,43,644,15,3,105,1520,14.5,7,3,2,4
2000,Dez White,20,19,Georgia Tech,73,218,4.62,37.5,,124,6.91,4.09,Georgia Tech,ACC,,11,44,860,19.5,5,90,1833,20.4,14,6,3.166666667,10.02777778
2000,Chris Cole,22,1,Texas A&M,72,191,4.37,37.5,,125,6.76,4.09,Texas A&M,Big 12,,11,22,363,16.5,0,85,1363,16,8,4,0.25,0.0625
2000,Laveranues Coles,22,80,Florida State,71,192,4.41,34,,115,6.89,4.39,Florida State,ACC,,4,12,179,14.9,1,62,1064,17.2,7,10,8,64
2000,JaJuan Dawson,22,5,Tulane,73,199,4.55,34,,117,6.96,4.16,Tulane,CUSA,,10,96,1051,10.9,8,240,3131,13,31,3,1.666666667,2.777777778
